step,loss,voltage_nll,voltage_huber,endpoint_nll,endpoint_huber,kl,q_monotonic,endpoint_monotonic,temporal_smoothness,kl_coefficient,gradient_norm,prior_std,posterior_std,validation_voltage_rmse_v,validation_voltage_crps_v,best_validation_score,best_step,stale_validations,elapsed_seconds,sampling_seconds,cells,cut_cycles,future_counts
1983,-2.0676321983337402,-0.8690981268882751,0.02619563229382038,-2.5152225494384766,0.00017741967167239636,13.495454788208008,0.012216051109135151,0.0026706289499998093,0.07753082364797592,0.003966,114.80226135253906,0.8077957630157471,0.4860409200191498,,,0.12027264916279884,500,2,27.1964595397003,0.0007618009112775326,MATR_b2c38|MATR_b2c1|MATR_b2c39|MATR_b3c13,376|123|319|375,64|46|64|64
1984,-2.6338610649108887,-1.3234643936157227,0.023127108812332153,-2.7359237670898438,0.00017767626559361815,13.275832176208496,0.009084724821150303,0.002047688467428088,0.06110856682062149,0.003968,53.27609634399414,0.7020464539527893,0.36990565061569214,,,0.12027264916279884,500,2,27.20822634594515,0.0008664662018418312,MATR_b3c26|MATR_b4c27|MATR_b3c44|MATR_b4c20,507|247|610|502,64|64|64|64
1985,-2.278526544570923,-1.1308343410491943,0.022318951785564423,-2.3922600746154785,0.00030925136525183916,10.98544692993164,0.011247297748923302,0.0023405959364026785,0.07122247666120529,0.0039700000000000004,59.72450637817383,0.7166439890861511,0.3916034996509552,,,0.12027264916279884,500,2,27.220400281716138,0.0008575189858675003,MATR_b1c23|MATR_b1c38|MATR_b4c24|MATR_b1c40,485|355|850|388,64|64|64|64
1986,-2.411935806274414,-1.1709997653961182,0.02220357395708561,-2.6511545181274414,0.0002022934495471418,20.114168167114258,0.011341657489538193,0.002194890985265374,0.07052704691886902,0.003972,78.31906127929688,0.6898595094680786,0.38528817892074585,,,0.12027264916279884,500,2,27.232822169549763,0.0008682599291205406,MATR_b2c27|MATR_b3c38|MATR_b2c34|MATR_b3c44,261|582|207|355,64|64|64|64
1987,-2.448775291442871,-1.2188078165054321,0.018378624692559242,-2.5506484508514404,0.00014325964730232954,10.424874305725098,0.00946053210645914,0.0019721307326108217,0.06637818366289139,0.003974,27.89482879638672,0.6785237193107605,0.3756569027900696,,,0.12027264916279884,500,2,27.24462717678398,0.0008481219410896301,MATR_b4c20|MATR_b4c38|MATR_b2c29|MATR_b1c32,571|932|222|296,64|64|64|64
1988,-2.4912314414978027,-1.3116461038589478,0.020613351836800575,-2.452483892440796,0.0002242020855192095,10.622358322143555,0.009661340154707432,0.002408945467323065,0.06685445457696915,0.003976,35.70961380004883,0.769943118095398,0.3753962516784668,,,0.12027264916279884,500,2,27.256731462664902,0.0009090048260986805,MATR_b2c14|MATR_b2c20|MATR_b3c41|MATR_b4c28,336|362|381|553,64|64|64|64
1989,-2.061582088470459,-0.9912787079811096,0.029216913506388664,-2.2763876914978027,0.0005062940763309598,15.475257873535156,0.012581349350512028,0.0028003230690956116,0.07939523458480835,0.003978,75.62124633789062,0.702094554901123,0.36879828572273254,,,0.12027264916279884,500,2,27.268851437605917,0.0009026629850268364,MATR_b4c23|MATR_b4c14|MATR_b3c10|MATR_b3c22,476|231|503|395,64|64|64|64
1990,-2.715672492980957,-1.3800525665283203,0.017026424407958984,-2.759542942047119,0.0001431105483788997,10.175131797790527,0.009613830596208572,0.0017967995954677463,0.063705675303936,0.00398,59.84996795654297,0.71607905626297,0.3909773528575897,,,0.12027264916279884,500,2,27.28056773962453,0.0008636810816824436,MATR_b4c40|MATR_b2c45|MATR_b3c19|MATR_b3c40,461|245|765|459,64|64|64|64
1991,-1.9200351238250732,-0.9178436398506165,0.03136521950364113,-2.1378939151763916,0.0004734932736027986,15.075417518615723,0.01162047777324915,0.00272139860317111,0.07198601961135864,0.003982,66.40957641601562,0.7010923624038696,0.3954790234565735,,,0.12027264916279884,500,2,27.29247984662652,0.0008714646100997925,MATR_b3c5|MATR_b3c10|MATR_b4c0|MATR_b4c33,308|394|332|389,64|64|64|64
1992,-2.3976755142211914,-1.2657546997070312,0.02141835354268551,-2.3635802268981934,0.00028302299324423075,11.359115600585938,0.010075623169541359,0.0018316416535526514,0.0700499638915062,0.003984,32.36810302734375,0.7913191318511963,0.35482800006866455,,,0.12027264916279884,500,2,27.304519310593605,0.0008422010578215122,MATR_b3c44|MATR_b2c31|MATR_b2c42|MATR_b2c26,688|373|386|296,64|64|64|64
