cell_id,current_cycle,cycle_alpha,beta,q_cut,q_end,forecast_points,current_soh_absolute_error,interval_coverage,soh_mae,soh_rmse
MATR_b1c35,351,0.5,0.25,0.3409346909090909,0.9652039999999998,351,0.0005098581314086914,1.0,0.012681253105826528,0.015643895900300218
MATR_b1c35,351,0.5,0.5,0.7469728818181818,0.9652039999999998,351,0.0004430413246154785,1.0,0.011901093004775523,0.014622198927905674
MATR_b1c35,491,0.7,0.25,0.3357475727272727,0.9459465454545454,211,0.001654505729675293,1.0,0.01532795502676218,0.018621697264993322
MATR_b1c35,491,0.7,0.5,0.741718409090909,0.9459465454545454,211,0.0015978217124938965,1.0,0.015643823768290297,0.01903979314815874
MATR_b1c42,211,0.3,0.25,0.3288463545454545,0.9799835454545454,490,0.0016794800758361816,1.0,0.011379853195073654,0.014795706031894644
MATR_b1c42,211,0.3,0.5,0.7348343454545454,0.9799835454545454,490,0.0017406940460205078,1.0,0.010864234092284222,0.014068753823339287
MATR_b1c42,351,0.5,0.25,0.3250501636363636,0.9710162727272728,350,0.00021827220916748047,1.0,0.0018028971127101354,0.0030051061968472763
MATR_b1c42,351,0.5,0.5,0.7254936454545454,0.9710162727272728,350,0.0002703070640563965,1.0,0.0017137954916272844,0.0025002527890684574
MATR_b1c42,490,0.7,0.25,0.33576426363636364,0.9489094545454545,211,0.0004552602767944336,1.0,0.014728930041688314,0.016255606848987657
MATR_b1c42,490,0.7,0.5,0.7417866818181817,0.9489094545454545,211,0.00047975778579711914,1.0,0.015312447932094195,0.016927320052330858
MATR_b1c5,322,0.3,0.25,0.32882825454545456,0.9728682727272727,751,0.0024130940437316895,1.0,0.014336865370505342,0.019372065848648836
MATR_b1c5,322,0.3,0.5,0.7349137818181817,0.9728682727272727,751,0.0023537278175354004,1.0,0.014274539388765826,0.019257017862203296
MATR_b1c5,537,0.5,0.25,0.32091,0.961469909090909,536,0.0011402368545532227,0.9981343283582089,0.00830184201251215,0.017332424762999912
MATR_b1c5,537,0.5,0.5,0.7157836181818181,0.961469909090909,536,0.001176297664642334,0.9981343283582089,0.008330786850915026,0.01721898050206471
MATR_b1c5,751,0.7,0.25,0.31144765454545453,0.9424042727272727,322,0.0045403242111206055,0.9968944099378882,0.01833375788623502,0.02003762125094192
MATR_b1c5,751,0.7,0.5,0.7007524636363637,0.9424042727272727,322,0.004496753215789795,0.9968944099378882,0.017891787964364757,0.01955874608912905
MATR_b1c6,191,0.3,0.25,0.34019941818181815,0.9745786363636363,444,0.002795696258544922,0.7387387387387387,0.020639603873630903,0.03415852508825598
MATR_b1c6,191,0.3,0.5,0.7461738545454545,0.9745786363636363,444,0.002756059169769287,0.7387387387387387,0.020588671436180938,0.03410513982984841
MATR_b1c6,317,0.5,0.25,0.32969103636363634,0.9622893636363635,318,0.0017750263214111328,0.6666666666666666,0.020205835126480966,0.033497682941375874
MATR_b1c6,317,0.5,0.5,0.7356775363636363,0.9622893636363635,318,0.001827239990234375,0.6666666666666666,0.02033365672489382,0.03367282405494549
MATR_b1c6,444,0.7,0.25,0.32419919999999997,0.9456578181818182,191,0.001993894577026367,0.5287958115183246,0.028557580491011054,0.04130596545260295
MATR_b1c6,444,0.7,0.5,0.7301520727272727,0.9456578181818182,191,0.002042055130004883,0.5287958115183246,0.028597421983149664,0.04136549574156246
MATR_b2c19,147,0.3,0.25,0.3247193,0.9292860909090908,342,0.002590179443359375,0.9970760233918129,0.011177705219614576,0.017600290653434717
MATR_b2c19,147,0.3,0.5,0.719628009090909,0.9292860909090908,342,0.0026535391807556152,0.9970760233918129,0.011366028709021227,0.017840125363597536
MATR_b2c19,245,0.5,0.25,0.30519978181818175,0.9103888181818182,244,0.002260148525238037,1.0,0.01124851405620575,0.019123053671152586
MATR_b2c19,245,0.5,0.5,0.6889534545454544,0.9103888181818182,244,0.0022588372230529785,1.0,0.011582523095803182,0.019518184042177176
MATR_b2c19,342,0.7,0.25,0.29833763636363636,0.8878678636363635,147,0.0027416348457336426,0.6598639455782312,0.020228356731181243,0.027259682582327693
MATR_b2c19,342,0.7,0.5,0.6766130727272727,0.8878678636363635,147,0.002837240695953369,0.6462585034013606,0.020631701767850084,0.027703058483086695
MATR_b2c22,162,0.3,0.25,0.3326841909090909,0.9785091818181818,378,0.0014532804489135742,0.9973544973544973,0.006678014205246375,0.012761252894402594
MATR_b2c22,162,0.3,0.5,0.7388419454545454,0.9785091818181818,378,0.0015085339546203613,0.9973544973544973,0.00689915279862742,0.013418388682660442
MATR_b2c22,270,0.5,0.25,0.3245172454545454,0.9638774545454544,270,0.002049744129180908,1.0,0.006076543198691474,0.00861023344651434
MATR_b2c22,270,0.5,0.5,0.7195946272727272,0.9638774545454544,270,0.002058565616607666,1.0,0.006215225546448319,0.009228316165172123
MATR_b2c22,378,0.7,0.25,0.3243034545454545,0.9357764545454544,162,0.0017440319061279297,1.0,0.0063172634001131414,0.007376204634935078
MATR_b2c22,378,0.7,0.5,0.7248060272727272,0.9357764545454544,162,0.0014253854751586914,1.0,0.006484555609432267,0.00787391828372657
MATR_b2c24,158,0.3,0.25,0.3335093909090909,0.969877909090909,366,0.002761363983154297,1.0,0.012405795640632754,0.024926385310135232
MATR_b2c24,158,0.3,0.5,0.7394390727272726,0.969877909090909,366,0.0028188228607177734,1.0,0.012638761209008472,0.02547549712991829
MATR_b2c24,262,0.5,0.25,0.3195473545454545,0.9573770909090907,262,0.0004901885986328125,1.0,0.012807849026818311,0.022989451752911966
