step,loss,soh_nll,soh_huber,kl,effective_kl_coefficient,future_voltage,endpoint,monotonic,prior_std_mean,posterior_std_mean,gradient_norm,validation_soh_rmse,validation_soh_nll,validation_soh_crps,selection_metric,validation_selection_score,best_validation_score,best_validation_soh_rmse,best_validation_soh_crps,best_step,stale_validations,elapsed_seconds,sampling_seconds,cells,current_cycles,betas
4624,-2.954287052154541,-3.0919153690338135,0.00012208634871058166,14.131898880004883,0.009248,0.03429419547319412,0.0004159784293733537,0.0011946756858378649,0.3659355938434601,0.16145171225070953,468.0670471191406,,,,crps,,0.025109182413459132,0.047571417043706016,0.025109182413459132,500,8,465.4451109562069,0.0032712630927562714,MATR_b2c5|MATR_b3c13|MATR_b1c41|MATR_b2c5|MATR_b2c44|MATR_b3c4|MATR_b4c26|MATR_b1c31,241|608|665|394|121|735|145|179,0.5960|0.5871|0.6447|0.2381|0.5299|0.6282|0.3922|0.1804
4625,-3.047757148742676,-3.183845281600952,0.00012050430086674169,14.344261169433594,0.009250000000000001,0.016678540036082268,0.0003044196346309036,0.001324119744822383,0.34553682804107666,0.16277451813220978,468.6528015136719,,,,crps,,0.025109182413459132,0.047571417043706016,0.025109182413459132,500,8,465.54478979622945,0.004144978243857622,MATR_b2c26|MATR_b1c33|MATR_b2c5|MATR_b4c20|MATR_b3c26|MATR_b3c22|MATR_b4c25|MATR_b3c4,224|550|189|187|760|448|242|560,0.6434|0.6149|0.3306|0.5877|0.3895|0.3769|0.3080|0.6398
4626,-3.055818557739258,-3.1807708740234375,0.00012182795035187155,13.19703483581543,0.009252,0.013862150721251965,0.000441391603089869,0.0012695681070908904,0.3760974407196045,0.16365014016628265,595.569580078125,,,,crps,,0.025109182413459132,0.047571417043706016,0.025109182413459132,500,8,465.6461493521929,0.0036185518838465214,MATR_b2c17|MATR_b2c17|MATR_b4c22|MATR_b2c47|MATR_b3c0|MATR_b1c43|MATR_b2c29|MATR_b3c39,135|118|548|383|462|253|277|560,0.4836|0.3739|0.1671|0.6075|0.3715|0.1886|0.3626|0.4342
4627,-2.6754558086395264,-2.8375322818756104,0.0001732516975607723,16.88538932800293,0.009254,0.0284830704331398,0.0005793889868073165,0.002993267960846424,0.33576124906539917,0.17152974009513855,193.11148071289062,,,,crps,,0.025109182413459132,0.047571417043706016,0.025109182413459132,500,8,465.7453543660231,0.0035491231828927994,MATR_b4c39|MATR_b1c15|MATR_b2c17|MATR_b1c0|MATR_b2c25|MATR_b3c40|MATR_b2c4|MATR_b4c31,486|525|368|804|211|550|172|544,0.1398|0.1121|0.2331|0.4355|0.4985|0.6522|0.3471|0.2062
4628,-3.4445717334747314,-3.544487476348877,8.12225989648141e-05,10.394140243530273,0.009256,0.018154844641685486,0.0004876237944699824,0.0011725936783477664,0.3267689049243927,0.17021793127059937,286.8225402832031,,,,crps,,0.025109182413459132,0.047571417043706016,0.025109182413459132,500,8,465.8461843812838,0.0034844321198761463,MATR_b1c39|MATR_b2c5|MATR_b1c38|MATR_b3c40|MATR_b1c31|MATR_b2c23|MATR_b4c40|MATR_b1c31,207|365|488|256|334|361|296|335,0.2809|0.2274|0.6522|0.3907|0.5284|0.3095|0.3436|0.1407
4629,-3.213935375213623,-3.3712894916534424,0.00013702988508157432,16.499727249145508,0.009258,0.022616049274802208,0.0003452366800047457,0.0014351534191519022,0.41132378578186035,0.1776280403137207,425.4422912597656,,,,crps,,0.025109182413459132,0.047571417043706016,0.025109182413459132,500,8,465.9446944431402,0.003816923126578331,MATR_b3c28|MATR_b1c41|MATR_b2c43|MATR_b3c35|MATR_b4c5|MATR_b1c23|MATR_b4c37|MATR_b1c43,312|237|195|488|528|301|489|224,0.6627|0.1460|0.5714|0.4539|0.1473|0.5871|0.3707|0.1067
4630,-3.0217387676239014,-3.1571478843688965,0.00020874006440863013,14.196199417114258,0.009260000000000001,0.019338661804795265,0.000276658043731004,0.0015309173613786697,0.37239694595336914,0.16523107886314392,200.5695343017578,,,,crps,,0.025109182413459132,0.047571417043706016,0.025109182413459132,500,8,466.0410278919153,0.0037934686988592148,MATR_b2c14|MATR_b4c39|MATR_b2c11|MATR_b3c41|MATR_b4c2|MATR_b4c43|MATR_b2c18|MATR_b1c20,154|556|181|259|392|295|170|301,0.5674|0.6674|0.5646|0.3940|0.5235|0.3780|0.2720|0.1720
4631,-3.0269033908843994,-3.1567542552948,0.00016531463188584894,12.990407943725586,0.009262000000000001,0.04717426374554634,0.000502903712913394,0.0015181103954091668,0.3456204831600189,0.15255069732666016,207.8891143798828,,,,crps,,0.025109182413459132,0.047571417043706016,0.025109182413459132,500,8,466.1370570822619,0.003937568981200457,MATR_b2c11|MATR_b3c16|MATR_b4c13|MATR_b3c12|MATR_b3c19|MATR_b3c41|MATR_b1c17|MATR_b2c18,161|1077|563|694|827|395|392|416,0.6105|0.4338|0.5712|0.6292|0.3125|0.5972|0.6044|0.5335
4632,-3.254473924636841,-3.3701553344726562,0.00010797723371069878,11.932415962219238,0.009264,0.025179825723171234,0.0006831210339441895,0.0013594175688922405,0.3196219205856323,0.1629313826560974,246.50552368164062,,,,crps,,0.025109182413459132,0.047571417043706016,0.025109182413459132,500,8,466.23878423590213,0.0037877890281379223,MATR_b2c25|MATR_b3c4|MATR_b4c22|MATR_b1c20|MATR_b1c26|MATR_b2c28|MATR_b1c24|MATR_b3c39,211|631|448|330|294|382|739|373,0.6453|0.3928|0.3807|0.6624|0.2994|0.5526|0.5983|0.6301
4633,-3.152158737182617,-3.2952356338500977,0.00014398091298062354,15.122393608093262,0.009266,0.014359086751937866,0.00039505845052190125,0.0012652822770178318,0.34783387184143066,0.1663053035736084,220.06381225585938,,,,crps,,0.025109182413459132,0.047571417043706016,0.025109182413459132,500,8,466.33761353604496,0.0038490639999508858,MATR_b4c26|MATR_b2c26|MATR_b2c14|MATR_b3c0|MATR_b1c32|MATR_b4c27|MATR_b3c12|MATR_b3c26,220|197|190|770|413|357|274|383,0.2144|0.2441|0.3236|0.1772|0.6443|0.2952|0.4320|0.2706
