horizon_scheme,seed,learning_rate,context_size,horizon,folds_represented,pooled_lifetime_rmse_cycles,pooled_lifetime_mae_cycles,pooled_lifetime_bias_cycles,pooled_rul_mape_percent,pooled_coverage,pooled_interval_width_cycles,num_predictions,num_unique_test_cells
expanded,42,5e-05,12,200,1,141.11987265238355,104.86125865981971,37.32088637840954,18.080348898145772,0.7058823529411765,264.5244817791368,34,34
expanded,42,5e-05,12,220,1,151.16803338784499,113.084834689074,71.43664727294262,20.992803040083537,0.7352941176470589,277.8262310421672,34,34
expanded,42,5e-05,12,240,1,121.11817673003293,91.26157448020645,24.086661139565972,16.873584393611573,0.7941176470588235,243.88075411325045,34,34
expanded,42,5e-05,12,260,1,108.55991073820334,81.43789264847986,19.631249665653808,16.027653937287617,0.8823529411764706,241.76067378678854,34,34
expanded,42,5e-05,12,280,1,102.72584447051565,76.61762071661417,16.658844416198356,16.72095972368986,0.8823529411764706,229.84393831295935,34,34
expanded,42,5e-05,12,300,1,91.30131334832357,70.24395980323288,11.414780167172957,17.855341681537993,0.7941176470588235,199.89384395006763,34,34
expanded,42,5e-05,12,320,1,94.51062373595028,73.36070891786733,17.188801029639396,26.447924375275477,0.7647058823529411,195.98885224698,34,34
expanded,42,5e-05,12,340,1,83.81043910507077,64.13465498249846,14.28936419510613,15.171211349792266,0.7878787878787878,188.35313357647743,33,33
expanded,42,5e-05,12,360,1,83.51082112110412,60.60359435749461,3.1727793911464657,15.38953807846148,0.7878787878787878,173.95821372713314,33,33
expanded,42,5e-05,12,380,1,92.1457312194944,70.28134153641672,18.11790023207505,19.521148591362593,0.7272727272727273,173.98666941909136,33,33
expanded,42,5e-05,12,400,1,87.71052791885701,64.21818331583844,13.614678894853277,20.919236757136566,0.696969696969697,166.59592600773294,33,33
expanded,42,5e-05,12,420,1,83.77822898963247,58.60561671307957,5.385343103269236,28.64037080605366,0.7575757575757576,155.31980004330728,33,33
expanded,42,5e-05,12,440,1,87.98704563515561,60.35266582729616,4.023044496567925,20.888834956563933,0.75,150.50598559832792,32,32
expanded,42,5e-05,12,460,1,92.07697075024203,58.837685566170116,-8.819670346025687,16.99161848441164,0.7419354838709677,147.15269085426465,31,31
expanded,42,5e-05,12,480,1,89.54958530922521,59.806201296065986,0.47893205644882547,21.142936042197075,0.7419354838709677,142.94075001413577,31,31
expanded,42,5e-05,12,500,1,97.04887689297975,67.51469354231418,3.5995202667777617,28.567543325333943,0.7,142.34141666141025,30,30
expanded,42,5e-05,12,520,1,96.80126972373205,70.56986742305604,1.9098720046221689,33.19832727739407,0.6785714285714286,142.61765288841661,28,28
expanded,42,5e-05,12,540,1,101.98582697930907,64.96841399359728,-21.059104544586056,20.41145019182195,0.5555555555555556,135.75658986120104,27,27
expanded,42,5e-05,12,560,1,96.01271509439881,65.29723456669599,-6.764860954534853,24.35621331142801,0.6296296296296297,137.27439498378544,27,27
expanded,42,5e-05,12,580,1,99.65132663482905,59.96849232022638,-26.30459337763064,23.114077202558935,0.6666666666666666,127.69878217798193,27,27
expanded,42,5e-05,12,600,1,92.95480391621,55.953302320688366,-26.97110247645892,25.841613003441932,0.7037037037037037,128.22439931617478,27,27
expanded,42,5e-05,16,60,1,247.33294403147684,154.8707866173733,-45.12154132374886,18.721770088796333,0.7941176470588235,404.32416182357935,34,34
expanded,42,5e-05,16,80,1,205.67884082169925,143.44712823536992,53.593137964154096,20.662771316371405,0.7647058823529411,392.1658556341995,34,34
expanded,42,5e-05,16,100,1,163.39770762117016,116.93409821589158,60.008738522681504,18.137991832656493,0.7941176470588235,383.83944204677084,34,34
expanded,42,5e-05,16,120,1,145.17591665848184,109.9859382435535,55.9352440471638,17.91365360968016,0.7647058823529411,354.9781591288989,34,34
expanded,42,5e-05,16,140,1,143.56140187443694,101.21379154274946,29.735791017887774,16.348714254116405,0.8235294117647058,328.2163456643604,34,34
expanded,42,5e-05,16,160,1,158.22791753445176,104.38983868346389,12.673505500903472,16.240276435764265,0.7352941176470589,272.6475250784135,34,34
expanded,42,5e-05,16,180,1,158.83850561908295,116.13551568071603,49.804730699334584,19.142081032623246,0.7058823529411765,284.5597567801633,34,34
expanded,42,5e-05,16,200,1,141.37646827732522,106.00141325618121,39.842044194906215,18.400657397276483,0.6764705882352942,265.5182439974209,34,34
