horizon_scheme,seed,learning_rate,fold,context_size,run_tag,run_dir,evaluation_dir,prediction_csv,best_step,best_validation_rmse_cycles,mean_horizon_lifetime_rmse_cycles,mean_horizon_lifetime_mae_cycles,mean_rmse_below_training_range_cycles,mean_rmse_at_trained_horizons_cycles,mean_rmse_above_training_range_cycles,pooled_lifetime_rmse_cycles,pooled_lifetime_mae_cycles,pooled_lifetime_bias_cycles,pooled_coverage,pooled_interval_width_cycles,num_predictions,num_test_cells,num_evaluation_horizons,num_valid_horizons,num_skipped_horizons,minimum_actual_context_cells,mean_actual_context_cells,status,error
expanded,42,2.5e-05,1,16,hexpanded_s42_lr2p5em05_f1,/home/JunseoPark/바탕화면/battery_gru/outputs/horizon_lifetime_iv_anp_grid/suites/20260830_124935_068102/runs/hexpanded_s42_lr2p5em05_f1/20260830_211727_379867_f1_life_iv_base_s42,/home/JunseoPark/바탕화면/battery_gru/outputs/horizon_lifetime_iv_anp_grid/suites/20260830_124935_068102/evaluations/hexpanded_s42_lr2p5em05_f1/context_16,/home/JunseoPark/바탕화면/battery_gru/outputs/horizon_lifetime_iv_anp_grid/suites/20260830_124935_068102/evaluations/hexpanded_s42_lr2p5em05_f1/context_16/per_cell_predictions.csv,15500,119.16271510641599,93.8973822968642,71.6203962385667,,93.8973822968642,,95.92427327985416,71.97065166689508,-5.272118488407655,0.5382022471910113,154.26907103992286,890,34,28,28,0,16,16.0,completed,
expanded,42,2.5e-05,2,8,hexpanded_s42_lr2p5em05_f2,/home/JunseoPark/바탕화면/battery_gru/outputs/horizon_lifetime_iv_anp_grid/suites/20260830_124935_068102/runs/hexpanded_s42_lr2p5em05_f2/20260830_214129_021226_f2_life_iv_base_s42,/home/JunseoPark/바탕화면/battery_gru/outputs/horizon_lifetime_iv_anp_grid/suites/20260830_124935_068102/evaluations/hexpanded_s42_lr2p5em05_f2/context_8,/home/JunseoPark/바탕화면/battery_gru/outputs/horizon_lifetime_iv_anp_grid/suites/20260830_124935_068102/evaluations/hexpanded_s42_lr2p5em05_f2/context_8/per_cell_predictions.csv,9000,118.93863271781271,164.85590519678777,93.82886331860935,,164.85590519678777,,172.7738910617656,95.33108415183138,-29.681767208781892,0.7762711864406779,255.96032989901036,885,34,28,28,0,8,8.0,completed,
expanded,42,2.5e-05,2,12,hexpanded_s42_lr2p5em05_f2,/home/JunseoPark/바탕화면/battery_gru/outputs/horizon_lifetime_iv_anp_grid/suites/20260830_124935_068102/runs/hexpanded_s42_lr2p5em05_f2/20260830_214129_021226_f2_life_iv_base_s42,/home/JunseoPark/바탕화면/battery_gru/outputs/horizon_lifetime_iv_anp_grid/suites/20260830_124935_068102/evaluations/hexpanded_s42_lr2p5em05_f2/context_12,/home/JunseoPark/바탕화면/battery_gru/outputs/horizon_lifetime_iv_anp_grid/suites/20260830_124935_068102/evaluations/hexpanded_s42_lr2p5em05_f2/context_12/per_cell_predictions.csv,9000,118.93863271781271,164.91183200982118,93.59042685614062,,164.91183200982118,,172.88101284388821,95.07770843927253,-31.285552287536664,0.7875706214689265,255.17282881988513,885,34,28,28,0,12,12.0,completed,
expanded,42,2.5e-05,2,16,hexpanded_s42_lr2p5em05_f2,/home/JunseoPark/바탕화면/battery_gru/outputs/horizon_lifetime_iv_anp_grid/suites/20260830_124935_068102/runs/hexpanded_s42_lr2p5em05_f2/20260830_214129_021226_f2_life_iv_base_s42,/home/JunseoPark/바탕화면/battery_gru/outputs/horizon_lifetime_iv_anp_grid/suites/20260830_124935_068102/evaluations/hexpanded_s42_lr2p5em05_f2/context_16,/home/JunseoPark/바탕화면/battery_gru/outputs/horizon_lifetime_iv_anp_grid/suites/20260830_124935_068102/evaluations/hexpanded_s42_lr2p5em05_f2/context_16/per_cell_predictions.csv,9000,118.93863271781271,164.9241270278681,93.4563521911645,,164.9241270278681,,172.8950130253029,94.94212513116295,-31.731793058137853,0.7875706214689265,255.11670510264085,885,34,28,28,0,16,16.0,completed,
expanded,42,2.5e-05,3,8,hexpanded_s42_lr2p5em05_f3,/home/JunseoPark/바탕화면/battery_gru/outputs/horizon_lifetime_iv_anp_grid/suites/20260830_124935_068102/runs/hexpanded_s42_lr2p5em05_f3/20260830_215921_275427_f3_life_iv_base_s42,/home/JunseoPark/바탕화면/battery_gru/outputs/horizon_lifetime_iv_anp_grid/suites/20260830_124935_068102/evaluations/hexpanded_s42_lr2p5em05_f3/context_8,/home/JunseoPark/바탕화면/battery_gru/outputs/horizon_lifetime_iv_anp_grid/suites/20260830_124935_068102/evaluations/hexpanded_s42_lr2p5em05_f3/context_8/per_cell_predictions.csv,13000,126.60076110994447,120.7709233026538,76.21249657852182,,120.7709233026538,,145.10209143377253,78.90875414843589,25.95360677665216,0.7431629013079667,210.2647138573245,841,34,28,28,0,8,8.0,completed,
expanded,42,2.5e-05,3,12,hexpanded_s42_lr2p5em05_f3,/home/JunseoPark/바탕화면/battery_gru/outputs/horizon_lifetime_iv_anp_grid/suites/20260830_124935_068102/runs/hexpanded_s42_lr2p5em05_f3/20260830_215921_275427_f3_life_iv_base_s42,/home/JunseoPark/바탕화면/battery_gru/outputs/horizon_lifetime_iv_anp_grid/suites/20260830_124935_068102/evaluations/hexpanded_s42_lr2p5em05_f3/context_12,/home/JunseoPark/바탕화면/battery_gru/outputs/horizon_lifetime_iv_anp_grid/suites/20260830_124935_068102/evaluations/hexpanded_s42_lr2p5em05_f3/context_12/per_cell_predictions.csv,13000,126.60076110994447,120.16948120070386,75.35850653932845,,120.16948120070386,,143.5601311687899,78.20006633831288,24.969373549325795,0.746730083234245,209.6260324676048,841,34,28,28,0,12,12.0,completed,
expanded,42,2.5e-05,3,16,hexpanded_s42_lr2p5em05_f3,/home/JunseoPark/바탕화면/battery_gru/outputs/horizon_lifetime_iv_anp_grid/suites/20260830_124935_068102/runs/hexpanded_s42_lr2p5em05_f3/20260830_215921_275427_f3_life_iv_base_s42,/home/JunseoPark/바탕화면/battery_gru/outputs/horizon_lifetime_iv_anp_grid/suites/20260830_124935_068102/evaluations/hexpanded_s42_lr2p5em05_f3/context_16,/home/JunseoPark/바탕화면/battery_gru/outputs/horizon_lifetime_iv_anp_grid/suites/20260830_124935_068102/evaluations/hexpanded_s42_lr2p5em05_f3/context_16/per_cell_predictions.csv,13000,126.60076110994447,120.18426382864915,75.26858450115195,,120.18426382864915,,144.37000645588165,78.24107596913997,25.15754915631936,0.7479191438763377,209.4565966077061,841,34,28,28,0,16,16.0,completed,
expanded,42,2.5e-05,4,8,hexpanded_s42_lr2p5em05_f4,/home/JunseoPark/바탕화면/battery_gru/outputs/horizon_lifetime_iv_anp_grid/suites/20260830_124935_068102/runs/hexpanded_s42_lr2p5em05_f4/20260830_222121_619293_f4_life_iv_base_s42,/home/JunseoPark/바탕화면/battery_gru/outputs/horizon_lifetime_iv_anp_grid/suites/20260830_124935_068102/evaluations/hexpanded_s42_lr2p5em05_f4/context_8,/home/JunseoPark/바탕화면/battery_gru/outputs/horizon_lifetime_iv_anp_grid/suites/20260830_124935_068102/evaluations/hexpanded_s42_lr2p5em05_f4/context_8/per_cell_predictions.csv,20000,105.80623783688311,76.26305813989406,56.241566349936804,,76.26305813989406,,82.83207986932031,56.93219712095192,-10.914646645910125,0.6460280373831776,143.84948822778074,856,33,28,28,0,8,8.0,completed,
expanded,42,2.5e-05,4,12,hexpanded_s42_lr2p5em05_f4,/home/JunseoPark/바탕화면/battery_gru/outputs/horizon_lifetime_iv_anp_grid/suites/20260830_124935_068102/runs/hexpanded_s42_lr2p5em05_f4/20260830_222121_619293_f4_life_iv_base_s42,/home/JunseoPark/바탕화면/battery_gru/outputs/horizon_lifetime_iv_anp_grid/suites/20260830_124935_068102/evaluations/hexpanded_s42_lr2p5em05_f4/context_12,/home/JunseoPark/바탕화면/battery_gru/outputs/horizon_lifetime_iv_anp_grid/suites/20260830_124935_068102/evaluations/hexpanded_s42_lr2p5em05_f4/context_12/per_cell_predictions.csv,20000,105.80623783688311,76.21950971594777,56.15788282278503,,76.21950971594777,,83.00210319891487,56.898864211674734,-14.264482304807258,0.639018691588785,142.91453497226772,856,33,28,28,0,12,12.0,completed,
expanded,42,2.5e-05,4,16,hexpanded_s42_lr2p5em05_f4,/home/JunseoPark/바탕화면/battery_gru/outputs/horizon_lifetime_iv_anp_grid/suites/20260830_124935_068102/runs/hexpanded_s42_lr2p5em05_f4/20260830_222121_619293_f4_life_iv_base_s42,/home/JunseoPark/바탕화면/battery_gru/outputs/horizon_lifetime_iv_anp_grid/suites/20260830_124935_068102/evaluations/hexpanded_s42_lr2p5em05_f4/context_16,/home/JunseoPark/바탕화면/battery_gru/outputs/horizon_lifetime_iv_anp_grid/suites/20260830_124935_068102/evaluations/hexpanded_s42_lr2p5em05_f4/context_16/per_cell_predictions.csv,20000,105.80623783688311,76.1516637728037,56.150787220505016,,76.1516637728037,,83.02459743322527,56.89974612669373,-14.02325648772423,0.6425233644859814,143.11758647616395,856,33,28,28,0,16,16.0,completed,
