method,seed,held_out_protocol,support_repeat,adaptation_step,effective_adaptation_step,deployment_step_selection,deployment_selected_step,is_deployment_selection,support_loo_selected_mae_cycles,support_loo_zero_step_mae_cycles,count,mae_cycles,median_absolute_error_cycles,rmse_cycles,mape_percent,mean_bias_cycles,within_10_percent_accuracy,within_15_percent_accuracy,r2,max_absolute_error_cycles,y_general_mae_cycles,y_general_rmse_cycles,mean_absolute_y_general,mean_absolute_specific_residual,residual_to_general_ratio,residual_ratio_warning,general_representation_cosine_distance,general_representation_l2_distance,specific_representation_cosine_distance,specific_representation_l2_distance,source_validation_general_domain_accuracy,source_validation_specific_domain_accuracy,target_support_labels_used_for_adaptation,target_query_labels_used_for_adaptation_or_checkpoint_selection,prediction_mode
hybrid,42,protocol_1,2,0,0,support_loo,5,False,238.797607421875,297.5552978515625,6,412.4573567708333,281.1025390625,571.2062734830122,27.817689629445404,126.658203125,0.5,0.5,-0.3146765423176143,1015.320068359375,415.7292887369792,570.3877259129403,1864.0445556640625,9.591153144836426,0.00514534543484643,False,0.0,0.0,-2.9802322387695312e-08,0.0,0.25,0.125,False,False,residual
hybrid,42,protocol_1,2,1,1,support_loo,5,False,238.797607421875,297.5552978515625,6,414.9437662760417,284.19879150390625,571.9580677797493,28.071151015201746,133.28788248697916,0.5,0.5,-0.31813944807567474,1023.124755859375,417.93027750651044,571.1708506398296,1869.75390625,9.252827644348145,0.0049486874253445055,False,0.0,0.0,0.00011174877727171406,0.07892580330371857,0.25,0.125,True,False,residual
hybrid,42,protocol_1,2,2,2,support_loo,5,False,238.797607421875,297.5552978515625,6,417.2744547526042,287.177001953125,572.8169894805199,28.309639277552463,139.5343017578125,0.5,0.5,-0.3221013772759074,1030.635009765625,419.9921468098958,572.0316823071598,1875.1297607421875,9.014996528625488,0.004807665430608545,False,0.0,0.0,0.0004192491469439119,0.15292541682720184,0.25,0.125,True,False,residual
hybrid,42,protocol_1,2,5,5,support_loo,5,True,238.797607421875,297.5552978515625,6,423.46331787109375,295.451416015625,575.8393556275395,28.94793369116655,156.2918904622396,0.5,0.5,-0.3360898457631789,1051.620849609375,425.45672607421875,574.9292254794638,1889.517578125,8.401505470275879,0.004446375925548591,False,0.0,0.0,0.0022046267986297607,0.35098060965538025,0.25,0.125,True,False,residual
hybrid,42,protocol_1,2,10,10,support_loo,5,False,238.797607421875,297.5552978515625,6,433.5828857421875,312.87451171875,581.6119018424524,29.906718222908268,178.91536458333334,0.5,0.5,-0.36301158456616145,1082.32275390625,432.6431477864583,580.2218122346233,1908.8018798828125,7.59254789352417,0.003977651098075355,False,0.0,0.0,0.006853739731013775,0.61946702003479,0.25,0.125,True,False,residual
hybrid,42,protocol_1,3,0,0,support_loo,0,True,438.0247802734375,438.0247802734375,6,365.63425699869794,294.37518310546875,499.0162198288324,26.85492325990361,160.20745849609375,0.5,0.5,-0.793854761717586,1015.320068359375,359.17885335286456,498.0023186709563,1862.8402099609375,10.17095947265625,0.005459920511845473,False,1.9868215517249155e-08,0.0,-2.9802322387695312e-08,0.0,0.25,0.125,False,False,residual
hybrid,42,protocol_1,3,1,1,support_loo,0,False,438.0247802734375,438.0247802734375,6,367.52256266276044,284.59991455078125,508.0106948337406,27.168403514139953,174.01214599609375,0.5,0.5,-0.8591039106009135,1043.472412109375,360.95640055338544,506.4583121415263,1874.9969482421875,9.7810697555542,0.005216579026821332,False,1.9868215517249155e-08,0.0,0.0003044605255126953,0.13023746013641357,0.25,0.125,True,False,residual
hybrid,42,protocol_1,3,2,2,support_loo,0,False,438.0247802734375,438.0247802734375,6,369.67413330078125,282.4703369140625,517.2944246408897,27.49424799013529,187.3525594075521,0.5,0.5,-0.9276738194170311,1071.283203125,362.9515787760417,515.0647259407822,1886.6806640625,9.494827270507812,0.005032556622519813,False,1.9868215517249155e-08,0.0,0.0012034376850351691,0.25850486755371094,0.25,0.125,True,False,residual
hybrid,42,protocol_1,3,5,5,support_loo,0,False,438.0247802734375,438.0247802734375,6,386.54345703125,281.39105224609375,546.7577486400554,29.010680961459762,225.30977376302084,0.5,0.5,-1.1535147311706595,1153.884033203125,376.6572672526042,541.6006067471899,1919.3773193359375,9.886187553405762,0.005150726464156701,False,1.9868215517249155e-08,0.0,0.0076878867112100124,0.6487427353858948,0.25,0.125,True,False,residual
hybrid,42,protocol_1,3,10,10,support_loo,0,False,438.0247802734375,438.0247802734375,6,419.5544026692708,283.061279296875,600.6881318607899,31.816479145959427,284.0981038411458,0.3333333333333333,0.5,-1.5992979042728388,1292.905517578125,404.14292399088544,586.9880619045975,1967.40625,15.411482810974121,0.007833401368412915,False,1.9868215517249155e-08,0.0,0.03629156947135925,1.386437177658081,0.25,0.125,True,False,residual
