cell_id,current_cycle,cycle_alpha,beta,q_cut,q_end,forecast_points,current_soh_absolute_error,mean_predictive_std,mean_epistemic_std,mean_aleatoric_std,mean_prior_latent_std,interval_width,coverage_50,coverage_80,coverage_90,coverage_95,soh_mae,soh_rmse,soh_nll,soh_crps
MATR_b1c18,482,0.7,0.25,0.3084041818181818,0.9256810909090909,207,0.004529118537902832,0.013443861156702042,0.0006824504816904664,0.013426002115011215,0.1304495632648468,0.052698973566293716,0.01932367149758454,0.20772946859903382,0.33816425120772947,0.43478260869565216,0.032410025020728365,0.04013497895728817,-0.8627821066668742,0.02532558912440045
MATR_b1c18,482,0.7,0.5,0.6921330363636363,0.9256810909090909,207,0.004566848278045654,0.013461505994200706,0.0006440998986363411,0.013445444405078888,0.13045009970664978,0.05276813730597496,0.01932367149758454,0.2028985507246377,0.33816425120772947,0.43478260869565216,0.03234370491930828,0.04001810543690237,-0.8805892278662595,0.025245535675531044
MATR_b1c19,237,0.3,0.25,0.33219792727272723,0.9800612727272725,550,0.004933774471282959,0.03808575123548508,0.0014831380685791373,0.03805350512266159,0.15240275859832764,0.14929339289665222,0.8090909090909091,1.0,1.0,1.0,0.013023241758346557,0.018184666458441533,-2.621533136289072,0.011186088324161203
MATR_b1c19,237,0.3,0.5,0.738204609090909,0.9800612727272725,550,0.004919290542602539,0.038396019488573074,0.0014492934569716454,0.038365110754966736,0.15240609645843506,0.15050964057445526,0.8109090909090909,1.0,1.0,1.0,0.013076986182819713,0.018100034041461287,-2.6169029482662682,0.011257139794240695
MATR_b1c19,393,0.5,0.25,0.32180808181818177,0.9682487272727273,394,0.005227029323577881,0.038939688354730606,0.001293459557928145,0.03891417756676674,0.13123443722724915,0.15264074504375458,0.8604060913705583,1.0,1.0,1.0,0.007768946704525633,0.010671107019607226,-2.648343896183415,0.01010276953417462
MATR_b1c19,393,0.5,0.5,0.7221853181818182,0.9682487272727273,394,0.005259394645690918,0.039076823741197586,0.001139646745286882,0.03905733302235603,0.13123276829719543,0.1531783491373062,0.8553299492385786,1.0,1.0,1.0,0.007756228979468951,0.010573714766051451,-2.645956743771724,0.010131940901419733
MATR_b1c19,551,0.7,0.25,0.32561402727272726,0.9458587272727272,236,0.003016829490661621,0.041259195655584335,0.001271732966415584,0.041235052049160004,0.1139393076300621,0.16173307597637177,1.0,1.0,1.0,1.0,0.004646160592467098,0.005136822813307642,-2.545872292861786,0.010190758339332256
MATR_b1c19,551,0.7,0.5,0.7260411454545455,0.9458587272727272,236,0.0030483007431030273,0.04151066020131111,0.0011065616272389889,0.041492123156785965,0.11393925547599792,0.1627187877893448,1.0,1.0,1.0,1.0,0.004248244024939456,0.0048455128517695244,-2.543640830369287,0.0102122599352213
MATR_b1c2,671,0.3,0.25,0.32858241818181816,0.9698396363636362,1565,0.0038137435913085938,0.0732569545507431,0.0018278455827385187,0.07323230803012848,0.15705937147140503,0.2871619760990143,0.5169329073482428,1.0,1.0,1.0,0.041866878274911506,0.04896643952087615,-1.6628034544401822,0.028510475205709287
MATR_b1c2,671,0.3,0.5,0.7345054909090908,0.9698396363636362,1565,0.0038720369338989258,0.07346676290035248,0.0020120053086429834,0.07343724370002747,0.15706107020378113,0.2879844307899475,0.5169329073482428,1.0,1.0,1.0,0.041968154412108105,0.04908756295235254,-1.6606795163816683,0.028584180047219545
