step,loss,nll,kl,kl_weight,gradient_norm,optimizer_step_skipped,amp_scale_before,amp_scale_after,batch_sampling_attempts,batch_sampling_seconds,batch_collation_seconds,batch_transfer_seconds,batch_cells,batch_current_cycles,batch_betas,context_points_min,context_points_max,target_points_min,target_points_max,target_soh_raw_min,target_soh_raw_max,target_normalized_min,target_normalized_max,prediction_mean_min,prediction_mean_max,prediction_std_min,prediction_std_max,prior_std_min,prior_std_max,posterior_std_min,posterior_std_max,iv_observed_fraction_mean,gpu_allocated_mb,gpu_reserved_mb,learning_rate,validation_rmse,elapsed_seconds,nonfinite_gradient_parameters,validation_cell_rmse
665,0.3499103784561157,0.3478739261627197,0.015311690047383308,0.133,135.61827087402344,False,512.0,512.0,16,0.0030808011069893837,0.0007438189350068569,0.00039643002673983574,HUST_9-7|HUST_2-5|HUST_4-1|HUST_6-2|HUST_10-3|HUST_10-2|HUST_9-4|HUST_2-8|HUST_8-8|HUST_10-4|HUST_1-4|HUST_4-6|HUST_2-8|HUST_10-6|HUST_6-4|HUST_8-1,618|1100|1146|645|412|444|817|309|1058|781|741|635|676|862|1321|882,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,12,122,128,128,0.8125755631313137,1.0722841237373713,-2.3714962005615234,0.8888453841209412,-2.208984375,0.86865234375,0.15581630170345306,0.6090565919876099,0.16725388169288635,0.6179460287094116,0.1681535840034485,0.6339997053146362,0.0,69.8818359375,198.0,0.0001,,9.99228618759662,,
666,0.37293916940689087,0.369958758354187,0.02237536944448948,0.1332,99.97710418701172,False,512.0,512.0,16,0.003486407920718193,0.0005748528055846691,0.0003797793760895729,HUST_9-7|HUST_4-4|HUST_10-1|HUST_4-7|HUST_5-6|HUST_2-8|HUST_10-8|HUST_8-6|HUST_5-3|HUST_7-4|HUST_6-2|HUST_2-3|HUST_1-2|HUST_8-1|HUST_9-7|HUST_8-5,1447|735|406|1546|1194|1088|778|1582|1732|623|644|1139|1535|840|1602|337,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,11,124,128,128,0.8118593181818177,1.0653353813131294,-2.3804879188537598,0.8016119599342346,-2.119140625,0.8310546875,0.16472885012626648,0.5837026238441467,0.1681535840034485,0.6181146502494812,0.16875585913658142,0.6205352544784546,0.0,69.9521484375,198.0,0.0001,,10.007488447707146,,
667,0.19397370517253876,0.1914556622505188,0.018875839188694954,0.1334,50.31582260131836,False,512.0,512.0,16,0.003958960995078087,0.0007756482809782028,0.0004041539505124092,HUST_9-5|HUST_8-1|HUST_6-2|HUST_5-6|HUST_1-4|HUST_10-2|HUST_8-4|HUST_7-4|HUST_8-2|HUST_4-6|HUST_3-5|HUST_6-4|HUST_9-7|HUST_1-2|HUST_8-5|HUST_3-6,899|706|897|1414|633|595|873|857|1009|706|576|959|648|1042|353|966,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,25,127,128,128,0.8118593181818177,1.0897510429292931,-2.3804879188537598,1.10812246799469,-2.13671875,0.85205078125,0.16981466114521027,0.6463655829429626,0.16860510408878326,0.6174403429031372,0.16920888423919678,0.617777407169342,0.0,70.0576171875,198.0,0.0001,,10.022991779725999,,
668,0.22977426648139954,0.22710353136062622,0.019990570843219757,0.1336,20.416080474853516,False,512.0,512.0,16,0.0031765098683536053,0.000565605703741312,0.00037375837564468384,HUST_8-6|HUST_1-6|HUST_5-6|HUST_8-8|HUST_5-7|HUST_4-5|HUST_6-2|HUST_8-7|HUST_9-5|HUST_4-7|HUST_5-7|HUST_7-1|HUST_4-7|HUST_2-3|HUST_4-7|HUST_2-5,1617|265|571|1213|404|743|580|1507|678|666|695|1070|1019|668|526|936,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,21,126,128,128,0.8129530303030258,1.087731613636359,-2.36675763130188,1.082770824432373,-2.322265625,0.89111328125,0.15694059431552887,0.6525686979293823,0.16905775666236877,0.6162616610527039,0.16951152682304382,0.6204225420951843,0.0,70.0224609375,198.0,0.0001,,10.03729000268504,,
669,0.32103803753852844,0.3178676962852478,0.023694537580013275,0.1338,87.56593322753906,False,512.0,512.0,16,0.0033297669142484665,0.000710225198417902,0.00037602195516228676,HUST_1-6|HUST_6-5|HUST_1-4|HUST_10-5|HUST_5-7|HUST_3-5|HUST_10-1|HUST_6-5|HUST_6-4|HUST_10-3|HUST_2-5|HUST_8-2|HUST_3-5|HUST_9-4|HUST_7-8|HUST_8-8,721|1173|748|449|1104|1785|1122|1705|397|1004|590|1329|823|502|426|1282,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,15,111,128,128,0.8115353888888837,1.078105058080808,-2.384554386138916,0.9619204998016357,-2.33203125,0.8134765625,0.17914457619190216,0.6544115543365479,0.16890674829483032,0.6146925091743469,0.16951152682304382,0.6330269575119019,0.0,69.4931640625,198.0,0.0001,,10.052047772798687,,
670,0.3249562382698059,0.32308992743492126,0.013927601277828217,0.134,87.2013168334961,False,512.0,512.0,16,0.003111247904598713,0.0005658459849655628,0.0003537503071129322,HUST_7-1|HUST_10-6|HUST_9-1|HUST_8-6|HUST_9-2|HUST_8-4|HUST_6-8|HUST_10-1|HUST_8-8|HUST_10-8|HUST_4-8|HUST_3-5|HUST_8-5|HUST_7-1|HUST_7-1|HUST_4-7,1057|1248|915|1624|1346|1090|734|622|985|827|1018|1338|541|429|1024|701,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,19,122,128,128,0.812708194444444,1.0765484595959571,-2.369831085205078,0.9423791766166687,-2.263671875,0.76416015625,0.18562383949756622,0.6510796546936035,0.16920888423919678,0.6140769124031067,0.16920888423919678,0.618058443069458,0.0,69.8818359375,198.0,0.0001,,10.066179474815726,,
671,0.36154329776763916,0.3579344153404236,0.026891836896538734,0.1342,73.82951354980469,False,512.0,512.0,16,0.0031879721209406853,0.0006595808081328869,0.0003619859926402569,HUST_2-8|HUST_10-4|HUST_4-5|HUST_3-5|HUST_4-5|HUST_2-3|HUST_4-1|HUST_4-5|HUST_9-8|HUST_8-8|HUST_7-1|HUST_7-1|HUST_10-5|HUST_6-1|HUST_9-1|HUST_5-3,960|1111|815|861|408|734|800|486|1309|856|1284|1266|534|551|1028|655,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,8,103,128,128,0.81275236363636,1.0727369722222158,-2.369276762008667,0.8945303559303284,-2.2734375,0.755859375,0.17349155247211456,0.6843763589859009,0.16905775666236877,0.6138530969619751,0.16951152682304382,0.6145805716514587,0.0,69.2109375,198.0,0.0001,,10.080539762973785,,
672,0.3198724389076233,0.3165271580219269,0.024890443310141563,0.1344,48.35536193847656,False,512.0,512.0,16,0.0032037398777902126,0.000719382893294096,0.00039484817534685135,HUST_3-5|HUST_6-2|HUST_4-7|HUST_4-4|HUST_8-4|HUST_6-1|HUST_1-2|HUST_8-7|HUST_10-2|HUST_2-6|HUST_6-2|HUST_2-5|HUST_10-2|HUST_5-6|HUST_2-5|HUST_10-2,758|1275|1256|396|1165|760|623|751|422|584|807|297|461|1269|1027|1227,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,23,127,128,128,0.8129530303030258,1.07962346717171,-2.36675763130188,0.9809823632240295,-2.326171875,0.7958984375,0.17582671344280243,0.651838481426239,0.1681535840034485,0.6148045063018799,0.16920888423919678,0.6263613104820251,0.0,70.0576171875,198.0,0.0001,,10.095335753634572,,
673,0.19829478859901428,0.19643007218837738,0.013853732496500015,0.1346,12.994866371154785,False,512.0,512.0,16,0.0033912011422216892,0.000592866912484169,0.00039007794111967087,HUST_7-4|HUST_9-5|HUST_2-6|HUST_10-3|HUST_2-6|HUST_8-4|HUST_8-4|HUST_8-4|HUST_9-7|HUST_4-4|HUST_5-7|HUST_4-7|HUST_9-2|HUST_4-4|HUST_6-2|HUST_2-6,613|1006|505|1100|678|984|1347|619|1256|781|483|1219|502|397|1069|847,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,13,124,128,128,0.8118593181818177,1.0754593914141397,-2.3804879188537598,0.9287071824073792,-2.123046875,0.828125,0.16845446825027466,0.649272620677948,0.16936014592647552,0.6145246028900146,0.16966304183006287,0.612121045589447,0.0,69.9521484375,198.0,0.0001,,10.109318437986076,,
674,0.49988144636154175,0.49724310636520386,0.019572211429476738,0.1348,100.89490509033203,False,512.0,512.0,16,0.003093946259468794,0.0006592711433768272,0.00039540790021419525,HUST_8-5|HUST_1-8|HUST_9-4|HUST_4-7|HUST_1-8|HUST_7-1|HUST_7-1|HUST_2-5|HUST_10-1|HUST_10-6|HUST_6-2|HUST_7-4|HUST_1-6|HUST_9-7|HUST_1-6|HUST_5-6,602|1533|1104|866|1764|1251|815|376|575|1346|1018|541|267|1301|722|823,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,21,127,128,128,0.8118593181818177,1.063825494949491,-2.3804879188537598,0.7826570272445679,-2.275390625,0.76171875,0.16695496439933777,0.6045640110969543,0.16920888423919678,0.6141887903213501,0.16951152682304382,0.623019278049469,0.0,70.0576171875,198.0,0.0001,,10.122828027699143,,
