candidate,best_source_meta_loss,mae,rmse,mae_percent,rmse_percent,r2,point_count,eol_threshold,current_cycle,actual_eol_cycle_last_hitting,predicted_eol_cycle_last_hitting,actual_rul,predicted_rul,rul_error_actual_minus_predicted,cell,mode,adaptation_best_step,adaptation_best_support_loss,oracle_query_selection,learning_rate,loss_reduction,sampling_mode,adaptation_selection_value,support_validation_mae_fraction,support_validation_mae_percent,query_used_for_gradient,query_used_for_checkpoint_selection,deployment_safe,checkpoint_selection
p0p7_ilr0p005,0.0020690308418124916,0.0221157056843367,0.0292529160578393,2.2115705684336784,2.9252916057839395,0.8915511668803541,972,0.7,100,882,1010,782,910,-128,CALCE_CX2_37.pkl,complete_paper_query_selected,0,,True,0.005,sample_balanced,random,0.0221157056843367,,,False,True,False,paper_query_early_stopping
p0p7_ilr0p005,0.0020690308418124916,0.0404713945460961,0.0688552584534768,4.047139454609615,6.885525845347687,0.8530067026588701,1479,0.7,100,878,1010,778,910,-132,CALCE_CX2_38.pkl,fast_0_steps,0,0.0052053127437829,False,0.005,sample_balanced,random,,,,,,,
p0p7_ilr0p005,0.0020690308418124916,0.0451964037719401,0.0719331367984547,4.519640377194018,7.19331367984547,0.8395715806328321,1479,0.7,100,878,1029,778,929,-151,CALCE_CX2_38.pkl,fast_1_steps,1,0.0050617959350347,False,0.005,sample_balanced,random,,,,,,,
p0p7_ilr0p005,0.0020690308418124916,0.0509297139629175,0.0757237355556814,5.092971396291758,7.572373555568148,0.8222181722452213,1479,0.7,100,878,1050,778,950,-172,CALCE_CX2_38.pkl,fast_3_steps,3,0.0049411319196224,False,0.005,sample_balanced,random,,,,,,,
p0p7_ilr0p005,0.0020690308418124916,0.0585020219746239,0.0810377810798034,5.850202197462391,8.103778107980347,0.7963903354406696,1479,0.7,100,878,1075,778,975,-197,CALCE_CX2_38.pkl,fast_5_steps,5,0.0048341639339923,False,0.005,sample_balanced,random,,,,,,,
p0p7_ilr0p005,0.0020690308418124916,0.0404713945460961,0.0688552584534768,4.047139454609615,6.885525845347687,0.8530067026588701,1479,0.7,100,878,1010,778,910,-132,CALCE_CX2_38.pkl,complete_paper_query_selected,0,,True,0.005,sample_balanced,random,0.0404713945460961,,,False,True,False,paper_query_early_stopping
p0p7_ilr0p01,0.001974886329844594,0.0165383830145239,0.0203825554241455,1.6538383014523914,2.0382555424145505,0.9473493402629942,972,0.7,100,882,962,782,862,-80,CALCE_CX2_37.pkl,fast_0_steps,0,0.0067367330193519,False,0.01,sample_balanced,random,,,,,,,
p0p7_ilr0p01,0.001974886329844594,0.0261761488389706,0.0338632718108867,2.6176148838970605,3.386327181088676,0.854673643047877,972,0.7,100,882,1034,782,934,-152,CALCE_CX2_37.pkl,fast_1_steps,1,0.0058596129529178,False,0.01,sample_balanced,random,,,,,,,
p0p7_ilr0p01,0.001974886329844594,0.0397893090260963,0.0464254387898892,3.978930902609632,4.642543878988923,0.7268516459067393,972,0.7,100,882,1072,782,972,-190,CALCE_CX2_37.pkl,fast_3_steps,3,0.0055020870640873,False,0.01,sample_balanced,random,,,,,,,
p0p7_ilr0p01,0.001974886329844594,0.050962366300169,0.0570512951889184,5.096236630016906,5.7051295188918445,0.5875060623304675,972,0.7,100,882,1072,782,972,-190,CALCE_CX2_37.pkl,fast_5_steps,5,0.0053503159433603,False,0.01,sample_balanced,random,,,,,,,
p0p7_ilr0p01,0.001974886329844594,0.0165383830145239,0.0203825554241455,1.6538383014523914,2.0382555424145505,0.9473493402629942,972,0.7,100,882,962,782,862,-80,CALCE_CX2_37.pkl,complete_paper_query_selected,0,,True,0.01,sample_balanced,random,0.0165383830145239,,,False,True,False,paper_query_early_stopping
p0p7_ilr0p01,0.001974886329844594,0.0327831234665462,0.0650354492350631,3.2783123466546207,6.503544923506312,0.8688634978214875,1479,0.7,100,878,962,778,862,-84,CALCE_CX2_38.pkl,fast_0_steps,0,0.0066445656120777,False,0.01,sample_balanced,random,,,,,,,
p0p7_ilr0p01,0.001974886329844594,0.0452123886064204,0.0727996083775495,4.521238860642045,7.279960837754953,0.8356834179465285,1479,0.7,100,878,1030,778,930,-152,CALCE_CX2_38.pkl,fast_1_steps,1,0.0058624614030122,False,0.01,sample_balanced,random,,,,,,,
p0p7_ilr0p01,0.001974886329844594,0.0596205776094146,0.0821545251763501,5.962057760941461,8.215452517635018,0.7907399685060407,1479,0.7,100,878,1080,778,980,-202,CALCE_CX2_38.pkl,fast_3_steps,3,0.0055443146266043,False,0.01,sample_balanced,random,,,,,,,
p0p7_ilr0p01,0.001974886329844594,0.073158042241316,0.0927655956206588,7.315804224131607,9.27655956206588,0.7331930235515471,1479,0.7,100,878,1125,778,1025,-247,CALCE_CX2_38.pkl,fast_5_steps,5,0.005393442697823,False,0.01,sample_balanced,random,,,,,,,
p0p7_ilr0p01,0.001974886329844594,0.0327831234665462,0.0650354492350631,3.2783123466546207,6.503544923506312,0.8688634978214875,1479,0.7,100,878,962,778,862,-84,CALCE_CX2_38.pkl,complete_paper_query_selected,0,,True,0.01,sample_balanced,random,0.0327831234665462,,,False,True,False,paper_query_early_stopping
p0p7_ilr0p025,0.0021704717655666173,0.4678591766797075,0.4739580705525015,46.78591766797075,47.39580705525015,-27.46861893683073,972,0.7,100,882,1072,782,972,-190,CALCE_CX2_37.pkl,fast_0_steps,0,0.1018403172492981,False,0.025,sample_balanced,random,,,,,,,
p0p7_ilr0p025,0.0021704717655666173,0.0373492525605396,0.0442984645106294,3.7349252560539608,4.429846451062946,0.7513068064817717,972,0.7,100,882,1045,782,945,-163,CALCE_CX2_37.pkl,fast_1_steps,1,0.0058893421664834,False,0.025,sample_balanced,random,,,,,,,
p0p7_ilr0p025,0.0021704717655666173,0.0545245568811114,0.0623824783354389,5.452455688111145,6.238247833543896,0.506812793245795,972,0.7,100,882,1072,782,972,-190,CALCE_CX2_37.pkl,fast_3_steps,3,0.0054717124439775,False,0.025,sample_balanced,random,,,,,,,
