fold,seed,model,cell_id,beta,requested_observed_cycle,observed_through_cycle,num_available_context_points,status,reason,future_rmse,current_soh_abs_error,nll,coverage_95,interval_width_95,forecast_start_cycle,num_context_points,num_target_points,schedule,cycle_step
0,42,partial_iv_anp,MATR_b1c2,0.5,300,300,300,ok,,0.0632830628345882,0.0006424797498278956,-1.592170434809596,0.689922480620155,0.1251998644800148,301,128,1935,step10,10
0,42,partial_iv_anp,MATR_b1c2,0.75,300,300,300,ok,,0.06477493209198844,0.0006202443255136636,-1.5285723035779781,0.661498708010336,0.12449051386930352,301,128,1935,step10,10
0,42,partial_iv_anp,MATR_b1c2,1.0,300,300,300,ok,,0.06726273235060432,0.0005726769720907354,-1.4235175155463795,0.6263565891472869,0.1239963418295889,301,128,1935,step10,10
0,42,partial_iv_anp,MATR_b1c2,0.0,310,310,310,ok,,0.06213545148775639,4.6368543175079324e-05,-1.5622029842767093,0.6701298701298701,0.12137278105237513,311,128,1925,step10,10
0,42,partial_iv_anp,MATR_b1c2,0.25,310,310,310,ok,,0.057772735481617994,0.00047602997610540765,-1.7843311395978176,0.7761038961038961,0.12452350158789145,311,128,1925,step10,10
0,42,partial_iv_anp,MATR_b1c2,0.5,310,310,310,ok,,0.057990664751338294,0.0004761194851300443,-1.7737507709174192,0.7677922077922078,0.12400695208802136,311,128,1925,step10,10
0,42,partial_iv_anp,MATR_b1c2,0.75,310,310,310,ok,,0.05892163473198296,0.0004675169940816515,-1.732848838626653,0.7464935064935065,0.12285428047543395,311,128,1925,step10,10
0,42,partial_iv_anp,MATR_b1c2,1.0,310,310,310,ok,,0.060863471944045705,0.0004364525500115679,-1.6514869074913614,0.7038961038961039,0.12175443922469947,311,128,1925,step10,10
0,42,partial_iv_anp,MATR_b1c2,0.0,320,320,320,ok,,0.04428374833019587,6.680879882592361e-05,-2.1415206979957278,0.875195822454308,0.11200222949267331,321,128,1915,step10,10
0,42,partial_iv_anp,MATR_b1c2,0.25,320,320,320,ok,,0.041749095340599306,0.0004870895459165858,-2.271012982914356,0.9467362924281985,0.11635698714214218,321,128,1915,step10,10
0,42,partial_iv_anp,MATR_b1c2,0.5,320,320,320,ok,,0.04172751093494778,0.0004902080998540059,-2.271741647150579,0.9446475195822455,0.11586365640417597,321,128,1915,step10,10
0,42,partial_iv_anp,MATR_b1c2,0.75,320,320,320,ok,,0.04203366380085027,0.0004909415838794118,-2.2621353453779545,0.9368146214099217,0.11438437875761759,321,128,1915,step10,10
0,42,partial_iv_anp,MATR_b1c2,1.0,320,320,320,ok,,0.04313885540532355,0.00046982804101292075,-2.22574524422954,0.9122715404699739,0.11284590835070703,321,128,1915,step10,10
0,42,partial_iv_anp,MATR_b1c2,0.0,330,330,330,ok,,0.032255972581123615,0.0008908746341504958,-2.538359149303912,0.9742782152230971,0.10653678569150196,331,128,1905,step10,10
0,42,partial_iv_anp,MATR_b1c2,0.25,330,330,330,ok,,0.04505917565122451,0.0008045672846245244,-2.2137207672904506,0.9863517060367454,0.14393663324627284,331,128,1905,step10,10
0,42,partial_iv_anp,MATR_b1c2,0.5,330,330,330,ok,,0.0450970289083028,0.0008053425045302376,-2.212749691138702,0.9863517060367454,0.14407818600204148,331,128,1905,step10,10
0,42,partial_iv_anp,MATR_b1c2,0.75,330,330,330,ok,,0.042876764272129574,0.0007802419164415486,-2.263814328353367,0.9874015748031496,0.14031851373786314,331,128,1905,step10,10
0,42,partial_iv_anp,MATR_b1c2,1.0,330,330,330,ok,,0.04057322129138682,0.0007474169532151187,-2.3190880652078474,0.988976377952756,0.1362396448754895,331,128,1905,step10,10
0,42,partial_iv_anp,MATR_b1c2,0.0,340,340,340,ok,,0.020507001179076577,0.0014640940709504946,-2.8838689646776916,0.9973614775725593,0.10010352430864508,341,128,1895,step10,10
0,42,partial_iv_anp,MATR_b1c2,0.25,340,340,340,ok,,0.08028137985125168,0.0006999730218304467,-1.7266607204251747,0.9498680738786279,0.20137245396823053,341,128,1895,step10,10
0,42,partial_iv_anp,MATR_b1c2,0.5,340,340,340,ok,,0.08418737000133888,0.0006032059783525057,-1.6729125005446888,0.9408970976253298,0.20632597777521017,341,128,1895,step10,10
0,42,partial_iv_anp,MATR_b1c2,0.75,340,340,340,ok,,0.08487331598424386,0.0005858897005750485,-1.6635990654197514,0.9382585751978891,0.20720373418601945,341,128,1895,step10,10
0,42,partial_iv_anp,MATR_b1c2,1.0,340,340,340,ok,,0.09213473124737459,0.0003974955140870762,-1.567671144485455,0.9187335092348285,0.21642246648765262,341,128,1895,step10,10
0,42,partial_iv_anp,MATR_b1c2,0.0,350,350,350,ok,,0.029138542500417093,0.0007165243546628508,-2.6482324923683582,0.9856763925729443,0.10411872242892789,351,128,1885,step10,10
0,42,partial_iv_anp,MATR_b1c2,0.25,350,350,350,ok,,0.03704351191523991,0.00044244456951214595,-2.42372708784981,0.9978779840848806,0.13269191845210532,351,128,1885,step10,10
0,42,partial_iv_anp,MATR_b1c2,0.5,350,350,350,ok,,0.03671448401879193,0.0004392273194067098,-2.4316285668536186,0.9978779840848806,0.13216189306129342,351,128,1885,step10,10
