epoch,source,teacher_forced_mse,recursive_mse,source_weight,cut_point_count,cut_point_min,cut_point_max,cut_points
8,CALCE_CX2_33.pkl,0.2841196656227112,0.3355662524700165,0.16666666666666666,16,36,1195,"[36, 100, 131, 190, 262, 378, 437, 576, 670, 734, 827, 905, 936, 1060, 1147, 1195]"
8,CALCE_CX2_34.pkl,0.25167593359947205,0.3052977919578552,0.16666666666666666,16,4,1331,"[4, 100, 136, 211, 280, 409, 512, 577, 713, 756, 891, 913, 1062, 1096, 1191, 1331]"
8,CALCE_CX2_35.pkl,0.30979645252227783,0.37590810656547546,0.16666666666666666,16,61,1452,"[61, 100, 146, 290, 361, 471, 513, 630, 701, 848, 935, 1040, 1134, 1240, 1281, 1452]"
8,CALCE_CX2_36.pkl,0.23917777836322784,0.2676955759525299,0.16666666666666666,16,85,1475,"[85, 100, 195, 223, 364, 482, 611, 637, 761, 889, 961, 1148, 1173, 1265, 1370, 1475]"
8,CALCE_CX2_38.pkl,0.1885998696088791,0.2384020984172821,0.16666666666666666,16,60,1474,"[60, 100, 196, 280, 328, 505, 557, 721, 788, 854, 1024, 1072, 1229, 1364, 1413, 1474]"
9,CALCE_CX2_16.pkl,0.3483008146286011,0.37949520349502563,0.16666666666666666,16,41,1223,"[41, 100, 170, 253, 277, 384, 461, 515, 619, 758, 780, 917, 1018, 1071, 1172, 1223]"
9,CALCE_CX2_33.pkl,0.2557952404022217,0.30604010820388794,0.16666666666666666,16,14,1235,"[14, 100, 102, 248, 265, 359, 496, 573, 620, 714, 818, 882, 983, 1070, 1140, 1235]"
9,CALCE_CX2_34.pkl,0.2262621968984604,0.27720898389816284,0.16666666666666666,16,35,1318,"[35, 100, 149, 188, 313, 421, 476, 586, 654, 733, 852, 935, 1045, 1121, 1239, 1318]"
9,CALCE_CX2_35.pkl,0.2858748435974121,0.3444380462169647,0.16666666666666666,16,8,1375,"[8, 100, 112, 256, 375, 468, 550, 615, 707, 825, 875, 1008, 1097, 1199, 1276, 1375]"
9,CALCE_CX2_36.pkl,0.21259382367134094,0.24164122343063354,0.16666666666666666,16,53,1472,"[53, 100, 146, 237, 375, 462, 544, 710, 802, 870, 1022, 1057, 1196, 1356, 1429, 1472]"
9,CALCE_CX2_38.pkl,0.16881904006004333,0.2155926376581192,0.16666666666666666,16,90,1531,"[90, 100, 200, 313, 342, 476, 617, 736, 742, 846, 982, 1116, 1225, 1294, 1382, 1531]"
10,CALCE_CX2_16.pkl,0.3139505386352539,0.3454550802707672,0.16666666666666666,16,51,1264,"[51, 100, 115, 217, 279, 360, 460, 545, 629, 746, 790, 908, 1012, 1100, 1188, 1264]"
10,CALCE_CX2_33.pkl,0.23088139295578003,0.2762075364589691,0.16666666666666666,16,31,1192,"[31, 100, 117, 219, 290, 378, 487, 547, 630, 750, 804, 860, 969, 1061, 1113, 1192]"
10,CALCE_CX2_34.pkl,0.19880196452140808,0.24890556931495667,0.16666666666666666,16,53,1299,"[53, 94, 100, 199, 353, 437, 469, 620, 695, 801, 847, 966, 1072, 1177, 1217, 1299]"
10,CALCE_CX2_35.pkl,0.25614479184150696,0.3125370144844055,0.16666666666666666,16,44,1403,"[44, 100, 119, 200, 341, 432, 580, 652, 752, 821, 905, 1019, 1085, 1197, 1287, 1403]"
10,CALCE_CX2_36.pkl,0.188735231757164,0.2154988944530487,0.16666666666666666,16,100,1513,"[100, 105, 129, 245, 342, 502, 601, 668, 755, 839, 968, 1098, 1215, 1276, 1428, 1513]"
10,CALCE_CX2_38.pkl,0.1483791172504425,0.1929013729095459,0.16666666666666666,16,38,1548,"[38, 100, 175, 313, 382, 436, 544, 684, 791, 946, 954, 1131, 1254, 1310, 1438, 1548]"
11,CALCE_CX2_16.pkl,0.2827377915382385,0.3107876777648926,0.16666666666666666,16,40,1268,"[40, 100, 126, 196, 315, 401, 467, 542, 600, 715, 847, 898, 1008, 1049, 1134, 1268]"
11,CALCE_CX2_33.pkl,0.20215065777301788,0.24604931473731995,0.16666666666666666,16,23,1248,"[23, 100, 138, 253, 264, 420, 480, 579, 665, 693, 809, 918, 962, 1061, 1117, 1248]"
11,CALCE_CX2_34.pkl,0.1748112142086029,0.2203860729932785,0.16666666666666666,16,75,1302,"[75, 91, 100, 256, 332, 377, 488, 578, 690, 805, 823, 933, 1030, 1168, 1261, 1302]"
11,CALCE_CX2_35.pkl,0.22599726915359497,0.2801623046398163,0.16666666666666666,16,19,1431,"[19, 100, 153, 288, 369, 418, 496, 615, 756, 778, 878, 1055, 1075, 1204, 1338, 1431]"
11,CALCE_CX2_36.pkl,0.1650843769311905,0.189290389418602,0.16666666666666666,16,92,1561,"[92, 100, 118, 289, 377, 462, 563, 645, 781, 839, 966, 1050, 1197, 1315, 1422, 1561]"
11,CALCE_CX2_38.pkl,0.12813600897789001,0.17038953304290771,0.16666666666666666,16,100,1515,"[100, 101, 194, 307, 363, 424, 628, 694, 819, 897, 1040, 1112, 1198, 1292, 1468, 1515]"
12,CALCE_CX2_16.pkl,0.24999302625656128,0.2754370868206024,0.16666666666666666,16,41,1240,"[41, 100, 158, 220, 296, 364, 494, 519, 617, 764, 788, 903, 977, 1023, 1167, 1240]"
12,CALCE_CX2_33.pkl,0.1755334436893463,0.215571328997612,0.16666666666666666,16,56,1209,"[56, 100, 128, 174, 266, 377, 450, 571, 597, 685, 795, 921, 993, 1092, 1181, 1209]"
12,CALCE_CX2_34.pkl,0.14950627088546753,0.1916784942150116,0.16666666666666666,16,67,1310,"[67, 100, 145, 249, 307, 407, 530, 601, 673, 731, 870, 974, 1089, 1165, 1242, 1310]"
12,CALCE_CX2_35.pkl,0.20029312372207642,0.24728943407535553,0.16666666666666666,16,41,1430,"[41, 100, 123, 226, 327, 416, 526, 666, 686, 825, 895, 978, 1066, 1173, 1318, 1430]"
12,CALCE_CX2_36.pkl,0.14085787534713745,0.1630735993385315,0.16666666666666666,16,23,1514,"[23, 100, 144, 219, 370, 502, 598, 643, 834, 860, 1017, 1091, 1185, 1317, 1441, 1514]"
12,CALCE_CX2_38.pkl,0.1105581670999527,0.1481645703315735,0.16666666666666666,16,20,1481,"[20, 100, 195, 303, 387, 523, 578, 677, 801, 936, 1039, 1125, 1220, 1276, 1379, 1481]"
13,CALCE_CX2_16.pkl,0.21572744846343994,0.23940570652484894,0.16666666666666666,16,60,1248,"[60, 100, 136, 222, 303, 388, 511, 592, 598, 728, 848, 932, 961, 1090, 1137, 1248]"
