iteration,source,support_loss,query_loss,alpha
1783,CALCE_CX2_33.pkl,0.17127852141857147,0.00010550612205406651,4.8838923813225444e-17
1783,CALCE_CX2_34.pkl,0.17639924585819244,7.903065124992281e-05,0.057834427803754807
1783,CALCE_CX2_35.pkl,0.19174247980117798,0.0006283092661760747,0.06435592472553253
1783,CALCE_CX2_36.pkl,0.17555655539035797,0.0001895138993859291,3.11660710596871e-17
1783,CALCE_CX2_38.pkl,0.18123330175876617,0.0001959235523827374,0.8686339259147644
1784,CALCE_CX2_16.pkl,0.16888880729675293,0.00021479011047631502,0.00914064235985279
1784,CALCE_CX2_33.pkl,0.17584344744682312,9.845797467278317e-05,4.925459861464559e-17
1784,CALCE_CX2_34.pkl,0.18084317445755005,9.241731459042057e-05,0.057601138949394226
1784,CALCE_CX2_35.pkl,0.1968410164117813,0.000840218854136765,0.06427737325429916
1784,CALCE_CX2_36.pkl,0.1751834750175476,0.0003194370656274259,3.1409675750083965e-17
1784,CALCE_CX2_38.pkl,0.17632830142974854,0.0003295231726951897,0.8689808249473572
1785,CALCE_CX2_16.pkl,0.1734641045331955,0.0001294614194193855,0.009172608144581318
1785,CALCE_CX2_33.pkl,0.178652822971344,0.00012409212649799883,4.9137188598499814e-17
1785,CALCE_CX2_34.pkl,0.18177644908428192,9.246781701222062e-05,0.05767957493662834
1785,CALCE_CX2_35.pkl,0.19612707197666168,0.0006234393804334104,0.06429232656955719
1785,CALCE_CX2_36.pkl,0.17768655717372894,0.00014481476682703942,3.138245489048607e-17
1785,CALCE_CX2_38.pkl,0.18454886972904205,0.00010825122444657609,0.8688554763793945
1786,CALCE_CX2_16.pkl,0.1718413531780243,0.000309709896100685,0.009174831211566925
1786,CALCE_CX2_33.pkl,0.18194223940372467,0.00011772276775445789,4.9276939108629423e-17
1786,CALCE_CX2_34.pkl,0.18083910644054413,0.00014743057545274496,0.05759024992585182
1786,CALCE_CX2_35.pkl,0.19138173758983612,8.656096179038286e-05,0.06426515430212021
1786,CALCE_CX2_36.pkl,0.1790250539779663,0.00016113711171783507,3.148725867409654e-17
1786,CALCE_CX2_38.pkl,0.18378281593322754,0.00011635694681899622,0.868969738483429
1787,CALCE_CX2_16.pkl,0.17866596579551697,0.00017043000843841583,0.009141073562204838
1787,CALCE_CX2_33.pkl,0.17737972736358643,0.00023724760103505105,4.961643719307834e-17
1787,CALCE_CX2_34.pkl,0.18372014164924622,0.00015904147585388273,0.057403046637773514
1787,CALCE_CX2_35.pkl,0.19577795267105103,0.00022269230976235121,0.06420496106147766
1787,CALCE_CX2_36.pkl,0.1811566799879074,0.00032836353057064116,3.1683135043149096e-17
1787,CALCE_CX2_38.pkl,0.1886550784111023,0.00011213267862331122,0.8692508935928345
1788,CALCE_CX2_16.pkl,0.1790643185377121,0.00022538886696565896,0.009091719053685665
1788,CALCE_CX2_33.pkl,0.17858050763607025,0.000743488606531173,5.011360251972476e-17
1788,CALCE_CX2_34.pkl,0.18262964487075806,0.00034136357135139406,0.05709058418869972
1788,CALCE_CX2_35.pkl,0.1962978094816208,0.00011399736104067415,0.06412527710199356
1788,CALCE_CX2_36.pkl,0.17882302403450012,0.00039297714829444885,3.194545717644681e-17
1788,CALCE_CX2_38.pkl,0.18020911514759064,0.0009853452211245894,0.8696924448013306
1789,CALCE_CX2_16.pkl,0.1695493757724762,0.001128128613345325,0.009190673939883709
1789,CALCE_CX2_33.pkl,0.18213176727294922,0.00021708417625632137,4.950621041337197e-17
1789,CALCE_CX2_34.pkl,0.18469098210334778,0.00013682511053048074,0.057470910251140594
1789,CALCE_CX2_35.pkl,0.19218561053276062,0.00011123014701297507,0.06423630565404892
1789,CALCE_CX2_36.pkl,0.17547792196273804,0.0009159871260635555,3.1681282158576977e-17
1789,CALCE_CX2_38.pkl,0.18409278988838196,0.00019989849533885717,0.8691021203994751
1790,CALCE_CX2_16.pkl,0.17143100500106812,0.00038571341428905725,0.009325255639851093
1790,CALCE_CX2_33.pkl,0.180943101644516,0.00019617137149907649,4.854656178880225e-17
1790,CALCE_CX2_34.pkl,0.18289877474308014,8.874408376868814e-05,0.058113355189561844
1790,CALCE_CX2_35.pkl,0.1967742145061493,0.0002228100784122944,0.06440132856369019
1790,CALCE_CX2_36.pkl,0.17662423849105835,0.0004415400035213679,3.123348958833262e-17
1790,CALCE_CX2_38.pkl,0.1795833855867386,0.00014362791262101382,0.8681600689888
1791,CALCE_CX2_16.pkl,0.1731342375278473,0.00014581045252270997,0.009448102675378323
1791,CALCE_CX2_33.pkl,0.1801651120185852,0.00024430121993646026,4.768738252143322e-17
1791,CALCE_CX2_34.pkl,0.17911043763160706,0.00010811942775035277,0.05863970145583153
1791,CALCE_CX2_35.pkl,0.19834396243095398,0.0010749963112175465,0.06455443799495697
1791,CALCE_CX2_36.pkl,0.17853960394859314,0.00012928681098856032,3.0817847874136975e-17
1791,CALCE_CX2_38.pkl,0.1831575632095337,0.00022375497792381793,0.8673577308654785
1792,CALCE_CX2_16.pkl,0.17003828287124634,0.00015461062139365822,0.00947880744934082
1792,CALCE_CX2_33.pkl,0.17371657490730286,0.0001385334035148844,4.7522221022885984e-17
1792,CALCE_CX2_34.pkl,0.18253520131111145,0.00034686009166762233,0.05867177993059158
1792,CALCE_CX2_35.pkl,0.18992018699645996,0.00044409354450181127,0.0645722895860672
1792,CALCE_CX2_36.pkl,0.17493347823619843,0.00013108048005960882,3.075112748592845e-17
1792,CALCE_CX2_38.pkl,0.1857881397008896,0.0003446703194640577,0.8672771453857422
1793,CALCE_CX2_16.pkl,0.1668873280286789,0.0002782628871500492,0.009439341723918915
1793,CALCE_CX2_33.pkl,0.1757221817970276,0.00013390611275099218,4.779728504633947e-17
1793,CALCE_CX2_34.pkl,0.18007436394691467,8.248454832937568e-05,0.05836527422070503
1793,CALCE_CX2_35.pkl,0.20031750202178955,0.0011462357360869646,0.06449046730995178
1793,CALCE_CX2_36.pkl,0.1750524342060089,0.00013519238564185798,3.089027911729457e-17
1793,CALCE_CX2_38.pkl,0.17821145057678223,7.703588926233351e-05,0.8677049279212952
1794,CALCE_CX2_16.pkl,0.17120680212974548,0.00018544857448432595,0.009386507794260979
1794,CALCE_CX2_33.pkl,0.17854459583759308,0.00016465135558973998,4.820707693924314e-17
1794,CALCE_CX2_34.pkl,0.17665988206863403,0.00011803623783634976,0.0579647421836853
1794,CALCE_CX2_35.pkl,0.19401361048221588,0.0005582692101597786,0.06438789516687393
1794,CALCE_CX2_36.pkl,0.1785576492547989,0.00016004149802029133,3.1101921548822386e-17
1794,CALCE_CX2_38.pkl,0.1836431473493576,0.00015185814118012786,0.8682608604431152
1795,CALCE_CX2_16.pkl,0.1759580373764038,0.00015911113587208092,0.009292751550674438
1795,CALCE_CX2_33.pkl,0.18000201880931854,0.00010415830911369994,4.8884309559075003e-17
1795,CALCE_CX2_34.pkl,0.17996570467948914,0.00012059891014359891,0.05738310143351555
1795,CALCE_CX2_35.pkl,0.1956193745136261,0.0003409622877370566,0.06423655152320862
1795,CALCE_CX2_36.pkl,0.1791393756866455,0.00012467298074625432,3.14351396780608e-17
1795,CALCE_CX2_38.pkl,0.1789683699607849,0.00012896006228402257,0.8690875768661499
1796,CALCE_CX2_16.pkl,0.1717030256986618,0.00021269865101203322,0.009202491492033005
1796,CALCE_CX2_33.pkl,0.17683763802051544,0.0002628674264997244,4.950443693813866e-17
1796,CALCE_CX2_34.pkl,0.1829921007156372,9.112898987950757e-05,0.0567973367869854
1796,CALCE_CX2_35.pkl,0.19571219384670258,0.0001997093204408884,0.0640864372253418
1796,CALCE_CX2_36.pkl,0.17491301894187927,0.00041066642734222114,3.173095931744446e-17
1796,CALCE_CX2_38.pkl,0.18688024580478668,0.0001578737428644672,0.8699137568473816
1797,CALCE_CX2_16.pkl,0.17329779267311096,0.0004945166874676943,0.009089762344956398
1797,CALCE_CX2_33.pkl,0.17507165670394897,0.00036458842805586755,5.036668008249658e-17
1797,CALCE_CX2_34.pkl,0.18314765393733978,0.00010960081272060052,0.05608777329325676
1797,CALCE_CX2_35.pkl,0.1930152177810669,9.093355038203299e-05,0.06390939652919769
1797,CALCE_CX2_36.pkl,0.1798900067806244,0.00026569966576062143,3.214583009930921e-17
1797,CALCE_CX2_38.pkl,0.17785713076591492,0.0004662373394239694,0.8709130883216858
1798,CALCE_CX2_16.pkl,0.1743655651807785,0.00013823065091855824,0.009048519656062126
1798,CALCE_CX2_33.pkl,0.17804162204265594,0.0002117409894708544,5.06009707191961e-17
1798,CALCE_CX2_34.pkl,0.17949482798576355,0.00029430235736072063,0.0557708777487278
1798,CALCE_CX2_35.pkl,0.1953173577785492,0.00019185480778105557,0.06385034322738647
1798,CALCE_CX2_36.pkl,0.17693667113780975,0.0003215496544726193,3.223196607085558e-17
1798,CALCE_CX2_38.pkl,0.18229471147060394,0.00010959373321384192,0.8713302612304688
1799,CALCE_CX2_16.pkl,0.17197339236736298,0.0002970867499243468,0.009025405161082745
